,Airline,Date,Source City,Destination City,Departure Time,Arrival Time,Duration,Stops,Price
0,Air Asia,13-10-2021,Mumbai,Kolkata,23:05,"07:00
+ 1 day",7h 55m,1 Stop,"7,410"
1,Air Asia,13-10-2021,Mumbai,Kolkata,20:50,"08:15
+ 1 day",11h 25m,1 Stop,"7,410"
2,Air Asia,13-10-2021,Mumbai,Kolkata,05:55,21:20,15h 25m,2 Stop(s),"7,410"
3,SpiceJet,13-10-2021,Mumbai,Kolkata,05:05,07:40,2h 35m,Non Stop,"7,412"
4,Go First,13-10-2021,Mumbai,Kolkata,07:40,10:20,2h 40m,Non Stop,"7,412"
5,Go First,13-10-2021,Mumbai,Kolkata,21:00,23:40,2h 40m,Non Stop,"7,412"
6,Go First,13-10-2021,Mumbai,Kolkata,08:30,14:15,5h 45m,1 Stop,"7,412"
7,SpiceJet,13-10-2021,Mumbai,Kolkata,07:15,19:35,12h 20m,1 Stop,"7,412"
8,Go First,13-10-2021,Mumbai,Kolkata,08:30,21:55,13h 25m,1 Stop,"7,412"
9,Go First,13-10-2021,Mumbai,Kolkata,18:05,"08:05
+ 1 day",14h 00m,1 Stop,"7,412"
10,SpiceJet,13-10-2021,Mumbai,Kolkata,21:20,"00:15
+ 2 days",26h 55m,1 Stop,"7,412"
11,Vistara,13-10-2021,Mumbai,Kolkata,07:05,09:45,2h 40m,Non Stop,"7,413"
12,IndiGo,13-10-2021,Mumbai,Kolkata,13:45,16:25,2h 40m,Non Stop,"7,413"
13,Vistara,13-10-2021,Mumbai,Kolkata,17:00,19:45,2h 45m,Non Stop,"7,413"
14,IndiGo,13-10-2021,Mumbai,Kolkata,19:35,22:20,2h 45m,Non Stop,"7,413"
15,Air India,13-10-2021,Mumbai,Kolkata,20:30,23:15,2h 45m,Non Stop,"7,413"
16,IndiGo,13-10-2021,Mumbai,Kolkata,07:30,10:20,2h 50m,Non Stop,"7,413"
17,Vistara,13-10-2021,Mumbai,Kolkata,14:00,16:55,2h 55m,Non Stop,"7,413"
18,IndiGo,13-10-2021,Mumbai,Kolkata,05:45,08:45,3h 00m,Non Stop,"7,413"
19,IndiGo,13-10-2021,Mumbai,Kolkata,16:25,21:30,5h 05m,1 Stop,"7,413"
20,IndiGo,13-10-2021,Mumbai,Kolkata,13:55,19:15,5h 20m,1 Stop,"7,413"
